"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"434",434,433,37,"Corolla Altis","Vl At Petrol",1798,4,4,"BS IV",55,"Petrol",1475,4620,1775,4,9.5,16.7,1310,3,175,1515,1520,"140PS@6400rpm","173Nm@4000rpm",5,"Automatic",2700,470,5.4
"435",435,434,13,"Civic","1.8 V Cvt",1799,4,4,"BS 6",47,"Petrol",1433,4656,1799,4,94.0801963534362,16.5,1268,4,179.415557830092,1520,1526.37732656514,"141PS@6500rpm","174Nm@4300rpm",5,"Automatic",2700,430,13.1699326599327
"436",436,435,13,"Civic","1.8 Vx Cvt",1799,4,4,"BS 6",47,"Petrol",1433,4656,1799,4,94.0801963534362,16.5,1275,4,179.415557830092,1520,1526.37732656514,"141PS@6500rpm","174Nm@4300rpm",5,"Automatic",2700,430,13.1699326599327
"437",437,436,13,"Civic","1.8 Zx Cvt",1799,4,4,"BS 6",47,"Petrol",1433,4656,1799,4,94.0801963534362,16.8,1300,4,179.415557830092,1520,1526.37732656514,"141PS@6500rpm","174Nm@4300rpm",5,"Automatic",2700,430,13.1699326599327
"438",438,437,13,"Civic","1.6 Vx Mt",1597,4,4,"BS 6",47,"Diesel",1433,4656,1799,4,94.0801963534362,26.8,1325,3,179.415557830092,1520,1526.37732656514,"120ps@4000","300Nm@2000",5,"Manual",2700,430,13.1699326599327
"439",439,438,13,"Civic","1.6 Zx Mt",1597,4,4,"BS 6",47,"Diesel",1433,4656,1799,4,94.0801963534362,26.8,1353,3,179.415557830092,1520,1526.37732656514,"120PS@4000RPM","300NM@2000rpm",5,"Manual",2700,430,13.1699326599327
"440",440,439,28,"Zs Ev","Excite",1855.67091633466,4.38218151540383,3.97768240343348,"BS 6",51.9907268170426,"Electric",1644,4314,1809,5,94.0801963534362,19.8741181581234,1383.01553829079,3.03012048192771,179.415557830092,1520,1526.37732656514,"142.76PS@3500rpm","353Nm@5000rpm",5,"Automatic",2585,448,13.1699326599327
"441",441,440,28,"Zs Ev","Exclusive",1855.67091633466,4.38218151540383,3.97768240343348,"BS 6",51.9907268170426,"Electric",1644,4314,1809,5,94.0801963534362,19.8741181581234,1383.01553829079,3.03012048192771,179.415557830092,1520,1526.37732656514,"142.76PS@3500rpm","353Nm@5000rpm",5,"Automatic",2585,448,13.1699326599327
"442",442,441,19,"Carnival","Premium 7 Str",2199,4,4,"BS 6",51.9907268170426,"Diesel",1755,5115,1985,5,94.0801963534362,19.8741181581234,1383.01553829079,6,179.415557830092,1985,1526.37732656514,"200PS@3800rpm","440Nm@1750-2750rpm",7,"Automatic",3060,540,13.1699326599327
"443",443,442,19,"Carnival","Premium 8 Str",2199,4,4,"BS 6",51.9907268170426,"Diesel",1755,5115,1985,5,94.0801963534362,19.8741181581234,1383.01553829079,6,179.415557830092,1985,1526.37732656514,"200PS@3800rpm","440Nm@1750-2750rpm",7,"Automatic",3060,540,13.1699326599327
"444",444,443,19,"Carnival","Prestige 7 Str",2199,4,4,"BS 6",51.9907268170426,"Diesel",1755,5115,1985,5,94.0801963534362,19.8741181581234,1383.01553829079,6,179.415557830092,1985,1526.37732656514,"200PS@3800rpm","440Nm@1750-2750rpm",7,"Automatic",3060,540,13.1699326599327
"445",445,444,19,"Carnival","Prestige 9 (6+3) Str",2199,4,4,"BS 6",51.9907268170426,"Diesel",1755,5115,1985,5,94.0801963534362,19.8741181581234,1383.01553829079,6,179.415557830092,1985,1526.37732656514,"200PS@3800rpm","440Nm@1750-2750rpm",7,"Automatic",3060,540,13.1699326599327
